generation,individual_id,parent1_individual_id,parent2_individual_id,face_pic,blend_file,emotion_key,fitness,angry,disgust,fear,happy,sad,surprise,neutral,generation_status,analysis_status,genes
0,328f40ca,INITIAL,INITIAL,INDIVIDUALS_EVOLVING_EMOTE_BIG_RUYN/output_gen0_328f40ca.png,output_gen0_328f40ca.blend,sad,21.707658325122374,4.125009596348953,2.6602774712504366e-06,3.634952814573385,0.05806714872139975,76.51698905432094,0.0018206972878419354,15.663159270663174,success,success,"[[[-145.4520263671875, 5.972084045410156, 9.482269287109375], [-148.2682342529297, 9.312600135803223, 5.678196907043457]], [[-142.08163452148438, -8.831672668457031, -5.864471435546875], [-142.31996154785156, -4.885407447814941, -8.68814468383789]], [[-126.1661376953125, -7.927250862121582, 49.133113861083984], [-121.5060806274414, -9.013327598571777, 46.98138427734375]], [[-124.73477935791016, 15.237592697143555, 36.81096267700195], [-128.46160888671875, 9.164003372192383, 35.01811218261719]], [[-120.59527587890625, 34.42085647583008, -2.802886962890625], [-122.52497100830078, 35.95026397705078, -4.167227745056152]], [[-117.0709228515625, 6.588952541351318, 72.82366180419922], [-121.44367980957031, 7.110998630523682, 76.25231170654297]], [[-112.40818786621094, 34.8835563659668, -9.607925415039062], [-106.51935577392578, 36.15703582763672, -13.214983940124512]], [[-111.32971954345703, -47.256065368652344, 19.58948516845703], [-113.0250473022461, -52.5026969909668, 20.423381805419922]], [[-83.82661437988281, 2.1871490478515625, 97.59306335449219], [-78.60542297363281, -2.8177309036254883, 93.30998992919922]], [[-51.154762268066406, 41.777061462402344, 112.47406005859375], [-53.265621185302734, 46.01056671142578, 117.28205108642578]]]"
0,23fbad4f,INITIAL,INITIAL,INDIVIDUALS_EVOLVING_EMOTE_BIG_RUYN/output_gen0_23fbad4f.png,output_gen0_23fbad4f.blend,fear,-211.655040760157,0.25900721084326506,4.1872758593797244e-07,16.412509977817535,6.540778279304504,0.3819001838564873,4.165772348642349,72.24003076553345,success,success,"[[[-145.70387268066406, 2.8228187561035156, -1.5275115966796875], [-145.35165405273438, 0.7813677787780762, -3.340608596801758]], [[-127.28240966796875, 23.002330780029297, -7.4606170654296875], [-125.02304077148438, 22.118066787719727, -9.887948989868164]], [[-123.99365234375, 15.318655967712402, 45.58857727050781], [-121.15754699707031, 12.356965065002441, 40.55118179321289]], [[-119.56648254394531, 9.3529691696167, 75.03843688964844], [-122.26172637939453, 6.291251182556152, 79.55120086669922]], [[-108.45430755615234, 27.99700355529785, 47.73045349121094], [-108.54119873046875, 32.728721618652344, 47.13303756713867]], [[-107.9499740600586, -32.168704986572266, 46.062599182128906], [-107.19158935546875, -26.970258712768555, 49.929317474365234]], [[-72.14273071289062, -49.596656799316406, 82.59281921386719], [-71.58242797851562, -45.57112121582031, 78.86534118652344]], [[-65.07803344726562, 52.25859832763672, 85.22201538085938], [-65.06876373291016, 48.45463180541992, 81.51163482666016]], [[-57.251747131347656, 40.58466339111328, 106.39883422851562], [-55.55776596069336, 48.15013122558594, 105.60836791992188]], [[-51.08482360839844, 48.506202697753906, 106.49876403808594], [-50.524078369140625, 52.4366569519043, 108.1115951538086]]]"
0,83a600a4,INITIAL,INITIAL,INDIVIDUALS_EVOLVING_EMOTE_BIG_RUYN/output_gen0_83a600a4.png,output_gen0_83a600a4.blend,sad,-282.18288556487397,0.5179429892450571,1.1820093792636044e-07,0.21369673777371645,0.010734218085417524,4.081952199339867,0.0022796608391217887,95.1733946800232,success,success,"[[[-122.83804321289062, -6.932347536087036, 58.780975341796875], [-124.10197830200195, -6.155538320541382, 62.42475700378418]], [[-121.53910064697266, -30.555072784423828, 42.207698822021484], [-125.19761657714844, -27.18669319152832, 38.88346481323242]], [[-118.20864868164062, 25.7974910736084, 41.926719665527344], [-111.96136474609375, 26.79216194152832, 40.926788330078125]], [[-105.02616119384766, -43.51496505737305, 31.92304801940918], [-106.60582733154297, -38.52310562133789, 35.45723342895508]], [[-81.8820915222168, -32.043755531311035, 94.49807357788086], [-81.8736801147461, -33.03855514526367, 92.96935653686523]], [[-78.68367767333984, -37.61084747314453, 87.74775695800781], [-75.13177490234375, -39.83072853088379, 85.77718734741211]], [[-51.69872283935547, -51.99723815917969, 105.52041625976562], [-56.1417350769043, -52.33350372314453, 109.27090454101562]]]"
0,1f50cde2,INITIAL,INITIAL,INDIVIDUALS_EVOLVING_EMOTE_BIG_RUYN/output_gen0_1f50cde2.png,output_gen0_1f50cde2.blend,sad,-271.39811521902817,0.8522640913724899,6.6417822630615575e-09,0.08239723392762244,0.004566272400552407,6.680835038423538,4.703589127075247e-05,92.379891872406,success,success,"[[[-149.7078399658203, -1.2214359045028687, 16.0872802734375], [-149.27224731445312, -5.782538890838623, 17.516080856323242]], [[-129.1033172607422, 22.643924713134766, -12.131439208984375], [-125.69022369384766, 26.629642486572266, -15.983654022216797]], [[-124.47644805908203, -1.5213099718093872, 70.619140625], [-128.00088500976562, -4.7533063888549805, 72.70372009277344]], [[-118.93452453613281, 16.802032470703125, -19.438430786132812], [-114.65632629394531, 14.452057838439941, -23.85314178466797]], [[-113.01224517822266, -37.52397918701172, 27.501483917236328], [-114.3411865234375, -38.98429489135742, 25.125585556030273]], [[-110.38417053222656, 40.68122482299805, -5.157196044921875], [-106.56310272216797, 41.63194274902344, 0.7535643577575684]], [[-103.99935913085938, 3.40287184715271, 86.19700622558594], [-102.21757507324219, 4.822696685791016, 86.12062072753906]], [[-81.72747039794922, -44.5022087097168, 80.33832550048828], [-75.6574935913086, -46.58734893798828, 82.30511474609375]], [[-81.63506317138672, -10.856775283813477, 92.09459686279297], [-78.91594696044922, -6.684169769287109, 91.1729965209961]], [[-75.6358642578125, -28.26541519165039, 102.23927307128906], [-74.94456481933594, -29.75839614868164, 102.87671661376953]]]"
0,c19359b6,INITIAL,INITIAL,INDIVIDUALS_EVOLVING_EMOTE_BIG_RUYN/output_gen0_c19359b6.png,output_gen0_c19359b6.blend,happy,-247.83505106023446,0.12848153710365295,1.4428877363747983e-09,1.3576685450971127,11.606937646865845,0.1960134832188487,1.1864341795444489,85.52446365356445,success,success,"[[[-134.74871826171875, -5.896953582763672, 35.61225891113281], [-134.5197296142578, -6.215031623840332, 37.72174072265625]], [[-127.27654266357422, -4.216409206390381, 48.654823303222656], [-122.40994262695312, -0.048656463623046875, 46.56270217895508]], [[-123.0400161743164, 15.902894973754883, 42.119754791259766], [-124.80194854736328, 9.22702407836914, 42.30990982055664]], [[-121.89446258544922, -24.239665985107422, 35.608909606933594], [-120.26892852783203, -22.630395889282227, 33.89365005493164]], [[-119.83411407470703, 1.037530541419983, 73.48668670654297], [-119.797119140625, 2.9715781211853027, 74.28765106201172]], [[-111.87440490722656, 43.83049011230469, -8.785964965820312], [-111.57814025878906, 48.406898498535156, -5.186484336853027]], [[-87.19873809814453, -32.90016174316406, 81.94973754882812], [-88.81500244140625, -31.363208770751953, 80.97367095947266]], [[-78.21340942382812, 6.886077880859375, 88.92263793945312], [-79.7289047241211, 4.188309669494629, 85.1701431274414]], [[-74.41258239746094, -0.434814453125, 107.49571228027344], [-73.49139404296875, 1.9824655055999756, 107.12873077392578]], [[-67.46086120605469, -25.1156005859375, 112.09794616699219], [-61.58547592163086, -29.72882843017578, 111.53900146484375]]]"
0,84158aca,INITIAL,INITIAL,INDIVIDUALS_EVOLVING_EMOTE_BIG_RUYN/output_gen0_84158aca.png,output_gen0_84158aca.blend,sad,-294.8778736768852,0.12480508303269744,3.7671066266398157e-07,0.08340898784808815,0.003277426367276348,1.173324417322874,0.002923764805018436,98.61226081848145,success,success,"[[[-149.29708862304688, -8.921340942382812, 10.649276733398438], [-153.62100219726562, -13.084859848022461, 8.300195693969727]], [[-126.82838439941406, 5.932400703430176, 44.516780853271484], [-122.36621856689453, -0.8739781379699707, 46.02975845336914]], [[-123.35098266601562, -32.53246307373047, 0.50238037109375], [-126.6963882446289, -35.310699462890625, -4.247086048126221]], [[-114.41766357421875, 10.44941520690918, 75.75916290283203], [-118.86514282226562, 7.4997758865356445, 73.764892578125]], [[-106.5158462524414, 8.894899368286133, 69.72821807861328], [-105.27741241455078, 9.956779479980469, 61.89512634277344]], [[-96.69097900390625, 0.46767160296440125, 84.32041931152344], [-97.99024200439453, -0.5934473276138306, 84.7430648803711]], [[-91.19999694824219, 50.59527587890625, 62.61158752441406], [-92.42442321777344, 46.64594268798828, 59.2610969543457]], [[-78.81983947753906, -64.94800567626953, 45.533935546875], [-76.30307006835938, -67.0533676147461, 48.41944122314453]], [[-66.5896987915039, -47.22314453125, 92.04126739501953], [-68.49434661865234, -49.801998138427734, 86.77840423583984]], [[-59.80055236816406, 27.81719970703125, 113.30287170410156], [-57.8031005859375, 29.844623565673828, 113.34439849853516]]]"
0,1965d123,INITIAL,INITIAL,INDIVIDUALS_EVOLVING_EMOTE_BIG_RUYN/output_gen0_1965d123.png,output_gen0_1965d123.blend,,-inf,,,,,,,,success,failed_no_results,"[[[-138.4547576904297, -7.281614303588867, 38.09383010864258], [-135.17184448242188, -7.471459865570068, 40.07667922973633]], [[-132.28012084960938, -24.67707061767578, 1.045013427734375], [-125.2519760131836, -23.764423370361328, -0.3710019588470459]], [[-126.61418151855469, -35.49615478515625, -2.53216552734375], [-127.88526916503906, -35.84355545043945, -1.308575987815857]], [[-120.38809967041016, -29.77189826965332, 29.982656478881836], [-121.39739990234375, -29.976009368896484, 32.58323287963867]], [[-118.23859405517578, 4.974890232086182, 72.86026763916016], [-116.06653594970703, -1.8853769302368164, 69.09732055664062]], [[-109.65662384033203, 11.522222518920898, 62.894649505615234], [-108.84810638427734, 16.987144470214844, 66.32917785644531]], [[-81.42033386230469, -13.576809883117676, 82.42821502685547], [-76.27098846435547, -10.646110534667969, 79.08328247070312]], [[-77.24546813964844, 7.294078826904297, 90.30647277832031], [-75.93544006347656, 9.135160446166992, 90.8733139038086]], [[-67.99263763427734, -49.620033264160156, 98.37492370605469], [-68.97945404052734, -50.14824676513672, 100.33289337158203]], [[-47.59172058105469, 56.395843505859375, 93.00216674804688], [-47.14714813232422, 58.26390838623047, 93.60466003417969]]]"
0,97b99a33,INITIAL,INITIAL,INDIVIDUALS_EVOLVING_EMOTE_BIG_RUYN/output_gen0_97b99a33.png,output_gen0_97b99a33.blend,surprise,-282.6029228075719,0.004802595867658965,7.820544748902633e-12,0.05536142271012068,0.018270481086801738,0.0008231032552430406,4.30963896214962,95.61110138893127,success,success,"[[[-146.36932373046875, 3.9374656677246094, -0.7958984375], [-145.18341064453125, 0.8492600917816162, -1.7886953353881836]], [[-128.522705078125, 33.133052825927734, -5.03558349609375], [-130.698974609375, 40.17921447753906, -7.491241931915283]], [[-117.49241638183594, -37.226097106933594, 34.91182327270508], [-114.74250793457031, -32.7152099609375, 31.3674259185791]], [[-112.2006607055664, -26.526439666748047, 53.11233139038086], [-108.0083999633789, -20.625747680664062, 50.26820373535156]], [[-98.59309387207031, 56.079376220703125, 25.14764404296875], [-99.6324691772461, 57.28910827636719, 24.532779693603516]], [[-96.80864715576172, -50.9779052734375, 33.01614761352539], [-97.59187316894531, -50.108909606933594, 34.369876861572266]], [[-81.34580993652344, 7.057987213134766, 95.95980834960938], [-80.15186309814453, 7.934132099151611, 97.16758728027344]], [[-77.1741943359375, 40.42740440368652, 81.25089263916016], [-77.5993881225586, 38.549673080444336, 81.05439758300781]], [[-73.67582702636719, 16.171615600585938, 114.01242065429688], [-70.02635955810547, 19.047256469726562, 110.57819366455078]]]"
0,f7495348,INITIAL,INITIAL,INDIVIDUALS_EVOLVING_EMOTE_BIG_RUYN/output_gen0_f7495348.png,output_gen0_f7495348.blend,angry,-285.27045953092113,1.5838587656617165,4.601865221352808e-11,1.1399771086871624,1.484515704214573,1.1670786887407303,0.405481131747365,94.21908855438232,success,success,"[[[-146.7921905517578, 9.810029983520508, 18.279800415039062], [-148.1778106689453, 8.886526107788086, 17.809520721435547]], [[-133.6405792236328, 17.221418380737305, 35.934757232666016], [-135.78659057617188, 19.792173385620117, 34.57617950439453]], [[-125.94955444335938, -2.9470157623291016, 57.11286163330078], [-126.08975219726562, -0.7907226085662842, 56.66748809814453]], [[-120.45219421386719, 19.802108764648438, -11.616256713867188], [-115.09469604492188, 15.362815856933594, -13.640624046325684]], [[-109.40200805664062, 17.648765563964844, 52.717529296875], [-108.68719482421875, 19.66741943359375, 51.213348388671875]], [[-107.9128646850586, 10.429624557495117, 67.6319351196289], [-105.69945526123047, 10.02255916595459, 68.97173309326172]], [[-101.7974853515625, 13.035325050354004, 73.33567810058594], [-108.66463470458984, 12.90587043762207, 75.9725112915039]], [[-95.90312957763672, -47.21241760253906, 50.64745330810547], [-96.5336685180664, -47.56477355957031, 54.1771240234375]], [[-89.46926879882812, 32.67246627807617, 68.4814224243164], [-90.16552734375, 33.753814697265625, 73.2977066040039]], [[-61.53923797607422, 12.73447036743164, 123.29925537109375], [-65.58506774902344, 8.16845417022705, 123.78135681152344]]]"
0,0e3940af,INITIAL,INITIAL,INDIVIDUALS_EVOLVING_EMOTE_BIG_RUYN/output_gen0_0e3940af.png,output_gen0_0e3940af.blend,surprise,-299.956511419407,0.0002855388856914942,2.069077324196254e-15,0.0007640368494321592,2.5445990559092024e-05,0.0001627539631954278,0.010251029743812978,99.9885082244873,success,success,"[[[-137.86431884765625, -15.13275146484375, -2.6325836181640625], [-136.1192169189453, -19.0606632232666, -6.779141426086426]], [[-122.50103759765625, -31.628582000732422, 38.611080169677734], [-128.626708984375, -28.238706588745117, 34.17963409423828]], [[-121.03862762451172, 18.884052276611328, 47.19829177856445], [-119.50414276123047, 20.105775833129883, 49.00612258911133]], [[-79.7852783203125, -39.01519775390625, 89.81764221191406], [-87.05244445800781, -41.044166564941406, 92.86699676513672]], [[-76.90480041503906, 1.580535888671875, 101.34207153320312], [-76.97418975830078, 7.188507556915283, 101.45237731933594]], [[-72.97759246826172, -47.07499313354492, 75.47817993164062], [-69.27507019042969, -42.33799743652344, 71.91609191894531]], [[-65.50614929199219, 56.23529815673828, 65.20384216308594], [-68.808837890625, 53.836830139160156, 66.62471008300781]], [[-59.142486572265625, -57.4254150390625, 70.96925354003906], [-58.247467041015625, -57.59805679321289, 69.50880432128906]], [[-53.78703308105469, 52.292694091796875, 86.1380615234375], [-49.76012420654297, 55.10337448120117, 89.43428039550781]], [[-52.49427032470703, 48.06640625, 106.55438232421875], [-51.417144775390625, 48.22583770751953, 105.49922180175781]]]"
